from,to,start,end
MIA,FLL,1353412800,1353416640
FLL,MIA,1353436200,1353439020
DFW,BOS,1353413820,1353426180
DFW,MIA,1353411720,1353420780
DFW,MCO,1353418920,1353427260
TPA,JFK,1353427680,1353437100
TUL,DFW,1353419820,1353424440
TPA,MIA,1353413160,1353416460
TUL,DFW,1353416040,1353420120
SAN,LAX,1353420960,1353423540
BNA,ORD,1353419580,1353424440
PSP,DFW,1353449580,1353459960
MIA,CLT,1353417180,1353424620
ORD,XNA,1353421740,1353427260
LAX,IAH,1353422700,1353433860
ABQ,ORD,1353424260,1353433740
HOU,DFW,1353451140,1353455820
DFW,HOU,1353412560,1353416820
DFW,HOU,1353422340,1353425940
DFW,HOU,1353455580,1353459420
DFW,HOU,1353460680,1353463920
DFW,HOU,1353450360,1353454080
BNA,ORD,1353415200,1353420840
DFW,LBB,1353423180,1353426660
ORD,SYR,1353426960,1353432720
AMA,DFW,1353424980,1353428520
DFW,CAE,1353420420,1353427980
DCA,STL,1353423900,1353431160
LGA,RDU,1353425160,1353431460
DFW,BRO,1353429060,1353434100
DFW,LFT,1353421920,1353426360
DFW,GPT,1353423000,1353428220
DFW,LEX,1353424800,1353431880
GRK,DFW,1353428460,1353431220
RDU,DCA,1353429120,1353432300
DSM,ORD,1353423660,1353427860
ORD,DTW,1353425100,1353428880
DFW,AEX,1353425700,1353429120
ORD,DSM,1353416100,1353419580
XNA,DFW,1353427140,1353431400
LGA,BNA,1353422880,1353431580
ORD,XNA,1353428280,1353433860
DFW,SDF,1353425220,1353432300
XNA,LGA,1353428100,1353439620
DFW,AMA,1353431340,1353435600
BNA,ORD,1353431580,1353437160
MIA,ORF,1353429360,1353437640
DFW,BTR,1353431220,1353435420
CLE,LGA,1353427140,1353432000
ORD,DSM,1353432420,1353435900
FWA,ORD,1353426420,1353429180
BDL,ORD,1353413880,1353422520
BNA,MIA,1353427020,1353434520
BNA,ORD,1353424020,1353429300
DFW,ROW,1353463860,1353469260
ABE,PHL,1353424020,1353425640
ABE,PHL,1353415320,1353418200
ABE,ORD,1353429180,1353436260
ABQ,DEN,1353422580,1353427020
ABQ,DAL,1353467220,1353472440
ABQ,PHX,1353466380,1353470160
ACK,EWB,1353449700,1353451320
ACK,EWB,1353426420,1353427920
ACK,MVY,1353440100,1353441240
ACK,MVY,1353450000,1353451140
ACY,PBI,1353428400,1353436440
XNA,ORD,1353429420,1353435960
ALB,BOS,1353439320,1353443100
ALB,BOS,1353454800,1353458520
ALB,BWI,1353417720,1353422880
ALB,CLT,1353417540,1353426540
ALB,MSS,1353454800,1353458280
AMA,DAL,1353467040,1353470280
ASE,DEN,1353462120,1353464400
ASE,DEN,1353443460,1353445860
ORD,OMA,1353426300,1353431160
ATL,AGS,1353461760,1353465120
ATL,BNA,1353461760,1353465240
ATL,CLT,1353421140,1353426060
ATL,CMH,1353462420,1353467580
ATL,LGA,1353418320,1353425700
ATL,LGA,1353465660,1353473460
ATL,MGM,1353460980,1353463740
ATL,OMA,1353426900,1353435480
ATL,PHL,1353414180,1353420540
AUG,BOS,1353426300,1353429780
DFW,CLL,1353431880,1353434640
AUS,ATL,1353466620,1353473520
AUS,DAL,1353464640,1353467700
AUS,IAH,1353413580,1353418140
AUS,SLC,1353420060,1353430560
SGF,DFW,1353421620,1353426240
BUF,ORD,1353430380,1353436020
IND,JFK,1353432660,1353441300
BDL,DEN,1353418440,1353432540
BDL,PHL,1353422280,1353427800
SAV,DFW,1353432480,1353442920
DFW,SAV,1353422460,1353429780
BGM,IAD,1353407400,1353411840
BHB,BOS,1353428520,1353433680
BHB,BOS,1353435300,1353439800
BHB,BOS,1353441900,1353446580
DFW,VPS,1353417360,1353423480
VPS,DFW,1353425400,1353433560
AMA,DFW,1353430320,1353434160
BNA,ATL,1353418800,1353422760
BNA,DCA,1353454080,1353459900
BNA,MDW,1353461820,1353467340
BNA,MDW,1353422100,1353427140
BNA,ORD,1353424980,1353430620
BNA,RDU,1353467940,1353472740
GRK,DFW,1353435840,1353438420
BOS,ACK,1353426300,1353429060
BOS,ACK,1353454800,1353457440
BOS,AUG,1353454200,1353458520
BOS,BHB,1353421800,1353426600
BOS,BHB,1353429000,1353433800
BOS,DCA,1353461040,1353466920
BOS,CLT,1353416040,1353425820
BOS,HYA,1353455400,1353457200
BOS,HYA,1353415800,1353417600
BOS,EWR,1353421380,1353425280
BOS,EWR,1353463440,1353467460
BOS,LEB,1353460200,1353462900
BOS,LEB,1353431400,1353433800
BOS,LGA,1353430740,1353435000
DFW,GSP,1353424080,1353431880
GSP,DFW,1353433800,1353443880
DFW,LBB,1353419520,1353423600
MLI,DFW,1353413100,1353420420
LEX,DFW,1353433740,1353441840
LBB,DFW,1353425040,1353429480
DFW,SGF,1353422880,1353427440
ACT,DFW,1353431940,1353434400
DFW,ACT,1353428040,1353430020
BOS,MCO,1353416340,1353427080
BOS,MVY,1353454500,1353456600
BOS,MVY,1353456000,1353458400
BOS,MVY,1353429000,1353430800
BOS,MVY,1353430800,1353433620
BOS,MVY,1353437640,1353439800
BOS,PHL,1353414360,1353419460
BOS,PVC,1353443400,1353444900
BOS,PVC,1353453900,1353455700
BOS,PQI,1353415500,1353420900
BOS,PVC,1353420600,1353422400
BOS,RKD,1353453960,1353458100
BOS,ROC,1353461820,1353466200
BOS,SLK,1353449700,1353454680
BOS,SLK,1353436500,1353441360
BOS,RUT,1353454800,1353459000
BOS,TPA,1353420120,1353432720
BOS,TPA,1353461460,1353472740
SHV,DFW,1353426600,1353429840
BTR,CLT,1353416760,1353423660
BTR,IAH,1353430560,1353434820
BTV,MCO,1353414360,1353425940
BUF,BWI,1353418920,1353422760
BUF,DTW,1353422820,1353426540
BUF,DTW,1353415620,1353418920
BUF,JFK,1353461700,1353466200
BUF,RSW,1353413400,1353423720
BUR,LAS,1353461400,1353465360
BUR,JFK,1353473400,1353491880
BUR,SJC,1353463320,1353466920
BWI,ALB,1353466440,1353470640
BWI,ATL,1353428640,1353434760
BWI,DEN,1353463020,1353476160
BWI,FLL,1353417720,1353426300
BWI,EWR,1353466440,1353469140
BWI,JAX,1353417960,1353425220
BWI,PIT,1353466260,1353469500
BWI,PHL,1353409020,1353411120
CAE,CLT,1353461280,1353465600
GRR,DFW,1353434820,1353443160
DFW,SHV,1353434460,1353437940
CGI,STL,1353449220,1353452520
CHO,IAD,1353461400,1353463800
CHS,CLT,1353414420,1353419400
DFW,MOB,1353426420,1353431640
CHS,PHL,1353450060,1353455760
CID,ORD,1353445320,1353449280
CLE,BOS,1353414300,1353420780
CLE,IND,1353418620,1353422340
CLE,LGA,1353447540,1353453000
CLE,MDW,1353461580,1353465360
CLE,ORD,1353462420,1353466740
CLT,AGS,1353465420,1353468120
CLT,AVL,1353464580,1353466620
CLT,ATL,1353428340,1353432900
CLT,AVL,1353469380,1353472380
CLT,BNA,1353468480,1353472680
CLT,CHO,1353421080,1353425580
